"artists","danceability","energy","liveness","tempo","loudness","acousticness","speechiness"
"Doris Day & With Orchestra",0.68,0.35,0.16,0.75,0.82,0.81,0.22
"Doris Day with Orchestra & Vocal Quartet",0.76,0.29,0.17,0.46,0.83,0.8,0.07
"Doris Day with orchestra conducted by Robert Mersey",0.51,0.56,0.38,0.7,0.82,0.59,0.04
"Doris Day; Orchestra conducted by George Siravo",0.55,0.08,0.13,0.34,0.71,0.86,0.06
"Doris Monteiro",0.28,0.22,0.18,0.58,0.72,0.99,0.04
"Doris Troy",0.76,0.67,0.1,0.54,0.78,0.37,0.06
"Dorival Caymmi",0.58,0.19,0.2,0.43,0.73,0.94,0.13
"Dorothea Siebert",0.25,0.23,0.38,0.52,0.65,0.96,0.08
"Dorothy",0.57,0.66,0.43,0.41,0.88,0.03,0.03
"Dorothy Ashby",0.61,0.45,0.17,0.46,0.75,0.72,0.05
"Dorothy Collins",0.45,0.15,0.12,0.49,0.71,0.9,0.04
"Dorothy Heyward",0.78,0.3,0.1,0.64,0.75,0.19,0.14
"Dorothy Kirsten",0.33,0.22,0.33,0.55,0.77,0.97,0.06
"Dorothy Lamour",0.46,0.62,0.9,0.28,0.84,0.99,0.44
"Dorothy Larsen",0.29,0.25,0.29,0.48,0.77,0.99,0.04
"Dorothy Loudon",0.38,0.34,0.37,0.46,0.8,0.84,0.06
"Dorothy Melton",0.42,0.03,0.14,0.43,0.75,0.96,0.04
"Dorothy Moore",0.39,0.24,0.09,0.8,0.74,0.66,0.03
"Dorothy Norwood",0.44,0.97,0.56,0.75,0.87,0.51,0.24
"Dorothy Remsen",0.24,0.01,0.11,0.71,0.51,1,0.05
"Dorothy Stickney",0.7,0.23,0.06,0.58,0.68,0.83,0.46
"Dorothy Tennant",0.47,0.31,0.21,0.63,0.75,0.93,0.08
"Dorrough Music",0.83,0.6,0.28,0.73,0.85,0,0.37
"Dorville",0.65,0.24,0.11,0.59,0.76,0.96,0.16
"Dory Previn",0.47,0.16,0.11,0.52,0.68,0.68,0.03
"Dos",0.57,0.5,0.2,0.55,0.84,0.46,0.19
"Dos Garza",0.64,0.7,0.11,0.6,0.9,0.31,0.05
"Dos Gringos",0.7,0.5,0.19,0.59,0.87,0.83,0.04
"Dosem",0.68,0.82,0.07,0.56,0.85,0.01,0.05
"Dost Mohammad",0.62,0.11,0.23,0.34,0.8,1,0.37
"Dost Mohammed",0.68,0.48,0.12,0.53,0.79,0.95,0.07
"Dost Mohommed",0.58,0.09,0.2,0.54,0.82,0.99,0.2
"Dottie Evans",0.61,0.26,0.11,0.75,0.74,0.92,0.25
"Dottie Peoples & The Peoples Choice Chorale",0.66,0.69,0.92,0.56,0.79,0.3,0.12
"Dottie West",0.51,0.4,0.17,0.51,0.78,0.45,0.09
"Double",0.67,0.64,0.12,0.44,0.82,0.65,0.03
"Double Exposure",0.54,0.88,0.18,0.52,0.84,0.02,0.12
"Double U",0.52,0.36,0.11,0.34,0.81,0.79,0.03
"Double You",0.71,0.9,0.07,0.57,0.77,0.05,0.05
"Doug Crider",0.68,0.26,0.07,0.35,0.73,0.3,0.07
"Doug E. Fresh",0.79,0.81,0.48,0.44,0.83,0.24,0.35
"Doug Kershaw",0.71,0.77,0.94,0.47,0.84,0.38,0.03
"Doug Sahm",0.64,0.57,0.11,0.57,0.81,0.41,0.04
"Doug Speer",0.62,0.3,0.13,0.78,0.76,0.08,0.06
"Doug Stone",0.57,0.48,0.21,0.61,0.82,0.42,0.03
"Doug Supernaw",0.57,0.43,0.14,0.57,0.77,0.36,0.03
"Doug Watkins",0.52,0.41,0.16,0.55,0.81,0.65,0.04
"Doug Williams",0.68,0.72,0.45,0.5,0.87,0.38,0.09
"Doug and the Slugs",0.65,0.69,0.17,0.71,0.79,0.19,0.04
"Dougie D",0.91,0.61,0.2,0.6,0.84,0.33,0.15
"Dougie MacLean",0.41,0.17,0.11,0.67,0.67,0.87,0.04
"Douglas Deane",0.4,0.18,0.21,0.32,0.64,0.75,0.05
"Douglas Fletcher Rodgers",0.57,0.25,0.17,0.65,0.78,0.81,0.09
"Douglas Gamley",0.17,0.42,0.38,0.47,0.81,0.97,0.04
"Douglas Miller",0.4,0.36,0.39,0.46,0.76,0.38,0.04
"Douglas, George",0.3,0.41,0.18,0.79,0.82,0.49,0.03
"Douw Fonda",0.25,0.01,0.07,0.63,0.48,0.98,0.04
"Dove Cameron",0.53,0.82,0.36,0.65,0.89,0.12,0.13
"Dove Shack",0.7,0.36,0.08,0.45,0.82,0.5,0.03
"Doves",0.4,0.84,0.07,0.56,0.87,0,0.04
"Down A.K.A Kilo",0.88,0.84,0.07,0.33,0.91,0.1,0.29
"Down By Law",0.39,0.87,0.56,0.61,0.85,0.06,0.08
"Down With Webster",0.46,0.87,0.06,0.8,0.9,0,0.04
"Down to Ground",0.63,0.68,0.12,0.58,0.87,0.06,0.03
"Down3r",0.84,0.31,0.16,0.44,0.73,0.62,0.22
"Downhere",0.3,0.42,0.16,0.5,0.83,0.01,0.03
"Downplay",0.35,0.91,0.18,0.88,0.9,0,0.08
"Downset",0.58,0.93,0.1,0.45,0.88,0.01,0.12
"Dr Zeus",0.76,0.86,0.06,0.47,0.91,0.04,0.06
"Dr. Alban",0.73,0.86,0.22,0.58,0.85,0,0.05
"Dr. Buzzard's Original Savannah Band",0.62,0.37,0.12,0.51,0.67,0.05,0.05
"Dr. Dog",0.57,0.65,0.27,0.61,0.85,0.41,0.04
"Dr. Doofenshmirtz",0.86,0.95,0.41,0.45,0.83,0.09,0.32
"Dr. Dre",0.72,0.77,0.27,0.49,0.9,0.1,0.25
"Dr. Elmo",0.76,0.36,0.22,0.5,0.73,0.86,0.04
"Dr. Feelgood",0.57,0.65,0.15,0.68,0.8,0.01,0.04
"Dr. Hook",0.57,0.55,0.21,0.57,0.79,0.53,0.1
"Dr. Jean Feldman",0.92,0.48,0.06,0.52,0.75,0.27,0.24
"Dr. Jeffrey Thompson",0.06,0.05,0.11,0.32,0.42,0.58,0.04
"Dr. John",0.65,0.52,0.18,0.51,0.77,0.42,0.07
"Dr. Know",0.25,0.9,0.27,0.65,0.77,0.03,0.05
"Dr. Lonnie Smith",0.55,0.59,0.11,0.44,0.76,0.42,0.05
"Dr. Luke",0.77,0.84,0.34,0.38,0.92,0.04,0.11
"Dr. Octagon",0.69,0.73,0.48,0.55,0.81,0.04,0.23
"Dr. Oop",0.85,0.58,0.11,0.42,0.84,0.09,0.31
"Dr. Samuel J. Hoffman",0.27,0.23,0.16,0.51,0.74,0.98,0.04
"Dr. Seuss",0.63,0.21,0.12,0.38,0.69,0.72,0.85
"Dr. Sudhamadhab Sengupta",0.54,0.45,0.27,0.5,0.86,0.89,0.05
"Dr. Teeth and The Electric Mayhem",0.78,0.54,0.26,0.47,0.77,0.2,0.04
"Dr. William S. Pitts",0.42,0.08,0.1,0.45,0.65,0.98,0.03
"Draco Rosa",0.67,0.48,0.08,0.43,0.87,0.12,0.03
"Drag-On",0.76,0.8,0.28,0.5,0.88,0.08,0.3
"Dragana Mirkovic",0.52,0.48,0.03,0.35,0.85,0.2,0.03
"Drago Dimitrievich",0.18,0.06,0.46,0.57,0.56,0.9,0.04
"Dragon",0.74,0.52,0.18,0.56,0.75,0.25,0.05
"DragonForce",0.21,0.95,0.26,0.83,0.9,0,0.12
"Dragonette",0.67,0.88,0.08,0.59,0.9,0.01,0.05
"Drake",0.67,0.58,0.18,0.55,0.86,0.2,0.22
"Drake Bell",0.41,0.8,0.16,0.77,0.87,0.01,0.07
"Drake White",0.59,0.72,0.11,0.52,0.89,0.18,0.04
"Drakeo the Ruler",0.87,0.4,0.14,0.43,0.78,0.22,0.33
"Drama",0.91,0.52,0.14,0.57,0.8,0.01,0.17
"Drama B",0.5,0.83,0.13,0.69,0.9,0.01,0.1
"Dramacydal",0.81,0.72,0.3,0.4,0.9,0.11,0.3
"Dramadigs",0.9,0.25,0.11,0.39,0.82,0.66,0.13
"Dramarama",0.43,0.83,0.56,0.6,0.81,0,0.05
"Dramatech",0.66,0.9,0.29,0.62,0.87,0.01,0.07
"Dranem",0.73,0.35,0.16,0.5,0.76,0.97,0.15
"Drapht",0.56,0.83,0.69,0.45,0.9,0.13,0.31
"Draw",0.81,0.7,0.09,0.66,0.9,0.64,0.23
"Drax Project",0.55,0.59,0.17,0.68,0.89,0.32,0.1
"Dre",0.74,0.82,0.07,0.65,0.88,0.07,0.2
"Dre Dog",0.84,0.59,0.43,0.44,0.84,0.15,0.36
"Dre'es",0.66,0.3,0.12,0.43,0.74,0.89,0.03
"Dread Mar I",0.71,0.49,0.06,0.68,0.87,0.1,0.06
"Dream",0.69,0.93,0.22,0.54,0.89,0.08,0.19
"Dream Easy Collective",0.73,0.22,0.34,0.49,0.7,0.9,0.23
"Dream Evil",0.47,0.84,0.22,0.62,0.89,0.01,0.07
"Dream Koala",0.58,0.28,0.08,0.55,0.77,0.9,0.04
"Dream Shard",0.22,0.64,0.11,0.6,0.46,0.98,0.07
"Dream Theater",0.4,0.8,0.19,0.57,0.84,0.05,0.06
"Dream Warriors",0.64,0.31,0.13,0.44,0.7,0.01,0.36
"Dream, Ivory",0.56,0.64,0.07,0.6,0.9,0.05,0.03
"Dreamer Boy",0.69,0.54,0.35,0.52,0.84,0.17,0.04
"Dreamgirl",0.18,0.46,0.13,0.83,0.86,0.84,0.03
"Dreams of Dreams",0.12,0.86,0.78,0.36,0.72,0.14,0.05
"Dreamville",0.73,0.66,0.16,0.6,0.88,0.23,0.35
"Dreddy Kruger",0.72,0.66,0.32,0.42,0.89,0.08,0.3
"Dreezy",0.63,0.58,0.1,0.45,0.87,0.23,0.24
"Drego",0.66,0.56,0.12,0.79,0.85,0.05,0.12
"Dresdner Philharmonie",0.28,0.16,0.29,0.42,0.67,0.94,0.05
"Drew Gehling",0.43,0.23,0.12,0.47,0.78,0.84,0.03
"Drew Holcomb & The Neighbors",0.61,0.3,0.11,0.53,0.77,0.8,0.03
"Drew Love",0.49,0.56,0.14,0.68,0.86,0.05,0.04
"Drew Seeley",0.68,0.89,0.08,0.51,0.89,0.03,0.06
"Dria",0.7,0.9,0.27,0.64,0.91,0.09,0.04
"Drifting Cowboys",0.67,0.26,0.2,0.62,0.78,0.8,0.03
"Driicky Graham",0.86,0.69,0.1,0.64,0.92,0.12,0.31
"DripReport",0.9,0.33,0.11,0.46,0.82,0.26,0.09
"Drive-By Truckers",0.43,0.65,0.19,0.54,0.87,0.1,0.03
"Drivin N Cryin",0.51,0.67,0.15,0.53,0.8,0.03,0.08
"Drop Dead, Gorgeous",0.34,0.95,0.2,0.78,0.92,0,0.17
"Drop Nineteens",0.36,0.71,0.2,0.53,0.79,0,0.04
"Dropkick Murphys",0.33,0.89,0.22,0.57,0.92,0.04,0.08
"Droplex",0.86,0.64,0.08,0.59,0.86,0,0.08
"Drottningholm Baroque Ensemble",0.36,0.15,0.08,0.52,0.7,0.87,0.04
"Drowning Pool",0.55,0.9,0.22,0.58,0.91,0,0.08
"Dru Down",0.81,0.68,0.17,0.51,0.87,0.08,0.26
"Dru Hill",0.66,0.5,0.15,0.52,0.85,0.28,0.06
"Drugdealer",0.65,0.47,0.5,0.49,0.86,0.5,0.03
"Drumma Battalion",0.64,0.54,0.2,0.36,0.81,0.09,0.25
"Drunksouls",0.64,0.69,0.63,0.83,0.84,0.36,0.23
"Dry Cell",0.55,0.9,0.18,0.48,0.91,0,0.04
"Dry County",0.63,0.79,0.41,0.41,0.9,0.31,0.04
"Dry Kill Logic",0.4,0.94,0.61,0.63,0.91,0,0.1
"Dréan",0.62,0.29,0.2,0.4,0.77,0.99,0.1
"Dschinghis Khan",0.78,0.78,0.1,0.6,0.86,0.09,0.04
"Dua Lipa",0.69,0.7,0.18,0.54,0.9,0.12,0.09
"DualXess",0.7,0.77,0.09,0.59,0.86,0,0.04
"Duane Allman",0.55,0.49,0.32,0.63,0.77,0.47,0.1
"Duane Chase",0.44,0.2,0.24,0.57,0.75,0.86,0.05
"Duane Eddy",0.53,0.56,0.31,0.64,0.81,0.64,0.04
"Duane Harden",0.78,0.7,0.07,0.6,0.87,0.03,0.08
"Dub Pistols",0.81,0.87,0.19,0.57,0.82,0.02,0.07
"Dubb",0.58,0.93,0.29,0.57,0.91,0.19,0.16
"Dubee",0.8,0.63,0.21,0.43,0.86,0.08,0.26
"Duck Sauce",0.69,0.81,0.25,0.59,0.91,0.01,0.35
"Duckwrth",0.77,0.64,0.19,0.57,0.88,0.41,0.31
"Dudu Zar",0.68,0.22,0.06,0.56,0.74,0.77,0.46
"Duece Poppito",0.79,0.73,0.29,0.67,0.89,0.01,0.4
"Duece Poppito of 24 Karatz",0.79,0.78,0.25,0.66,0.88,0.01,0.42
"Duelo",0.69,0.58,0.18,0.7,0.84,0.26,0.06
"Dueto Alma Nortena",0.64,0.42,0.33,0.68,0.83,0.48,0.04
"Dueto America",0.51,0.47,0.21,0.69,0.79,0.78,0.04
"Dueto Azteca",0.47,0.31,0.19,0.81,0.81,0.8,0.05
"Dueto Bertin Y Lalo",0.83,0.57,0.15,0.55,0.84,0.48,0.06
"Dueto Frontera",0.74,0.25,0.11,0.46,0.81,0.66,0.07
"Dueto Las Palomas",0.72,0.43,0.18,0.55,0.83,0.75,0.04
"Duffy",0.64,0.72,0.13,0.69,0.9,0.3,0.04
"Duice",0.88,0.46,0.04,0.61,0.77,0,0.23
"Duke",0.75,0.6,0.09,0.57,0.87,0.07,0.13
"Duke Bootee",0.95,0.61,0.09,0.46,0.81,0.02,0.21
"Duke Dumont",0.67,0.73,0.11,0.54,0.88,0.01,0.04
"Duke Ellington",0.47,0.28,0.23,0.51,0.73,0.77,0.08
"Duke Ellington & His Washingtonians",0.6,0.29,0.18,0.61,0.77,0.98,0.08
"Duke Ellington Orchestra",0.53,0.33,0.43,0.48,0.7,0.77,0.13
"Duke Jordan",0.56,0.16,0.09,0.5,0.67,0.9,0.05
"Duke Pearson",0.53,0.37,0.08,0.42,0.75,0.8,0.04
"Duke of Iron",0.61,0.42,0.11,0.44,0.82,0.99,0.09
"Duki",0.74,0.71,0.1,0.62,0.91,0.21,0.06
"Dulari",0.56,0.13,0.24,0.34,0.85,0.99,0.16
"Dulce",0.56,0.4,0.34,0.57,0.75,0.46,0.07
"Dulce María",0.62,0.81,0.19,0.57,0.9,0.18,0.06
"Dumbarton Oaks Chamber Orchestra",0.22,0.19,0.06,0.41,0.75,0.96,0.04
"Dumbarton Oaks Festival Orchestra",0.23,0.16,0.12,0.34,0.69,0.98,0.04
"Dumbfoundead",0.79,0.74,0.29,0.47,0.91,0.06,0.07
"Dumbo Gets Mad",0.56,0.9,0.12,0.4,0.9,0.76,0.05
"Duncan Dhu",0.58,0.89,0.13,0.46,0.88,0.13,0.05
"Duncan Laurence",0.45,0.33,0.14,0.33,0.77,0.82,0.05
"Duncan Sheik",0.5,0.69,0.21,0.78,0.87,0.2,0.04
"Dune",0.72,0.71,0.06,0.63,0.78,0.04,0.04
"Dungeon Family",0.77,0.43,0.04,0.71,0.86,0.11,0.04
"Duo A & G",0.29,0.12,0.2,0.34,0.69,1,0.04
"Duo Dinamico",0.58,0.77,0.27,0.46,0.85,0.44,0.04
"Duo Fasano",0.58,0.11,0.21,0.63,0.64,0.99,0.08
"Duo Fasano con Orchestra Angelini",0.5,0.18,0.29,0.82,0.61,0.97,0.08
"Duo Gazzana",0.07,0.01,0.07,0.34,0.4,0.97,0.05
"Duo Guidaly",0.7,0.25,0.1,0.49,0.77,0.96,0.05
"Durai Raj",0.74,0.24,0.15,0.34,0.73,0.99,0.55
"Duran Duran",0.62,0.78,0.19,0.57,0.84,0.11,0.07
"Durga",0.62,0.28,0.24,0.33,0.86,1,0.21
"Durga Khote",0.36,0.2,0.34,0.39,0.75,0.99,0.04
"Durgesh Kumar",0.51,0.18,0.73,0.31,0.81,0.98,0.15
"Durwood Black",0.79,0.79,0.1,0.44,0.9,0.06,0.19
"Dust",0.4,0.88,0.1,0.43,0.87,0.01,0.11
"Duster",0.53,0.54,0.15,0.5,0.8,0.54,0.04
"Dustin Lynch",0.55,0.75,0.23,0.52,0.9,0.1,0.05
"Dustin O'Halloran",0.31,0.09,0.14,0.59,0.63,0.97,0.04
"Dustin Tebbutt",0.63,0.58,0.13,0.47,0.84,0.61,0.03
"Dusty Brooks and His Tones",0.55,0.14,0.12,0.34,0.76,0.99,0.03
"Dusty Springfield",0.47,0.56,0.16,0.54,0.83,0.45,0.04
"Dustystaytrue",0.51,0.61,0.07,0.8,0.83,0.03,0.37
"Dutch Swing College Band",0.48,0.78,0.2,0.54,0.84,0.59,0.1
"Dutchman",0.81,0.71,0.13,0.39,0.88,0.01,0.34
"Dvice Ft Sica",0.59,0.54,0.14,0.38,0.85,0.39,0.31
"Dwarves",0.34,0.94,0.33,0.66,0.89,0,0.08
"Dwayne Burno",0.46,0.22,0.19,0.49,0.71,0.83,0.03
"Dwayne Ford",0.72,0.66,0.07,0.48,0.84,0.05,0.05
"Dwayne Johnson",0.79,0.74,0.04,0.62,0.86,0.29,0.27
"Dwayne Tryumf",0.75,0.83,0.62,0.66,0.88,0.19,0.29
"Dwele",0.71,0.59,0.25,0.43,0.86,0.12,0.19
"Dwight David",0.78,0.92,0.09,0.61,0.85,0.01,0.07
"Dwight Sills",0.61,0.39,0.11,0.72,0.73,0.7,0.04
"Dwight Twilley Band",0.64,0.74,0.06,0.61,0.81,0.32,0.04
"Dwight Yoakam",0.61,0.66,0.14,0.6,0.84,0.21,0.04
"Dwight Yoakam with Buck Owens",0.71,0.89,0.03,0.49,0.9,0.06,0.07
"Dwight Yoakam with Sheryl Crow",0.65,0.78,0.46,0.56,0.9,0.06,0.03
"Dwijen Chowdhury",0.43,0.2,0.12,0.33,0.77,0.99,0.12
"Dwijen Mukherjee",0.39,0.37,0.25,0.52,0.76,0.97,0.07
"Dwn2earth",0.68,0.76,0.21,0.38,0.93,0.29,0.15
"DyCy",0.86,0.86,0.96,0.59,0.94,0,0.11
"DyE",0.54,0.83,0.49,0.51,0.89,0,0.03
"Dyablo",0.83,0.6,0.08,0.4,0.86,0.13,0.25
"Dyango",0.49,0.47,0.13,0.56,0.81,0.39,0.04
"Dyemond Lewis",0.61,0.66,0.1,0.59,0.88,0.62,0.43
"Dying Fetus",0.34,0.87,0.09,0.43,0.86,0,0.12
"Dyke & The Blazers",0.71,0.54,0.14,0.56,0.82,0.14,0.04
"Dyl",0.86,0.72,0.08,0.74,0.91,0.12,0.34
"Dylan Brady",0.62,0.6,0.37,0.53,0.87,0.16,0.22
"Dylan Garcia",0.77,0.7,0.07,0.44,0.85,0,0.03
"Dylan Matthew",0.47,0.43,0.14,0.67,0.83,0.4,0.03
"Dylan Playfair",0.6,0.89,0.35,0.62,0.89,0.09,0.28
"Dylan Schneider",0.6,0.71,0.11,0.37,0.89,0.22,0.04
"Dylan Scott",0.57,0.71,0.09,0.48,0.87,0.19,0.04
"Dylan Thomas",0.73,0.09,0.22,0.37,0.52,0.71,0.95
"Dylan Wheeler",0.53,0.78,0.08,0.51,0.91,0.01,0.04
"Dyland & Lenny",0.69,0.76,0.14,0.4,0.91,0.27,0.04
"Dyme",0.68,0.82,0.06,0.49,0.91,0.01,0.3
"Dyme Def",0.58,0.64,0.51,0.87,0.92,0.6,0.66
"Dynamite Hack",0.68,0.45,0.28,0.37,0.86,0.45,0.05
"Dynasty",0.75,0.71,0.23,0.47,0.85,0.11,0.12
"Dynoro",0.69,0.77,0.12,0.58,0.89,0.18,0.15
"Dyo",0.8,0.57,0.07,0.5,0.86,0.07,0.07
"Dzeko",0.68,0.91,0.1,0.58,0.92,0.13,0.05
"Dzihan & Kamien",0.75,0.69,0.06,0.47,0.82,0.15,0.06
"Dârülelhan Heyeti",0.31,0.2,0.22,0.51,0.8,1,0.05
"Dénes von Buday",0.34,0.24,0.34,0.41,0.79,0.98,0.04
"Désiré Defauw",0.34,0.26,0.12,0.47,0.74,0.98,0.04
"Détente",0.28,0.94,0.23,0.38,0.85,0,0.07
"Dímelo Flow",0.77,0.65,0.07,0.74,0.91,0.28,0.17
"Dívčí pěvecký sbor Zvoneček z Rožnova pod Radhoštěm",0.32,0.07,0.11,0.56,0.7,0.8,0.05
"Dónal Lunny",0.56,0.47,0.2,0.39,0.82,0.76,0.03
"Dúo Hnos. Gaitán Castro",0.59,0.78,0.14,0.58,0.89,0.68,0.04
"Dúo Larrea-Terán",0.63,0.41,0.22,0.43,0.78,0.99,0.1
"Dúo Las Kantutas",0.62,0.39,0.37,0.65,0.8,0.96,0.07
"Dětský sbor JITRO",0.48,0.11,0.07,0.64,0.64,0.91,0.05
"Dětský sbor Čs. rozhlasu",0.6,0.31,0.34,0.48,0.8,0.98,0.06
"E A Ski",0.71,0.77,0.1,0.41,0.87,0.15,0.3
"E De Roze",0.36,0.31,0.12,0.51,0.74,1,0.04
"E-40",0.8,0.65,0.2,0.45,0.87,0.08,0.25
"E-Dubble",0.59,0.83,0.07,0.37,0.89,0.31,0.17
"E-Jun Lee",0.5,0.47,0.13,0.74,0.82,0.38,0.04
"E-Motion",0.87,0.89,0.19,0.62,0.93,0.01,0.09
"E. Bilimoria",0.41,0.23,0.12,0.59,0.77,0.99,0.05
"E. De Curtis",0.24,0.21,0.11,0.41,0.77,0.98,0.03
"E. Fitzgerald",0.48,0.53,0.96,0.82,0.8,0.67,0.68
"E. G. Padgaonkar",0.29,0.3,0.38,0.4,0.8,0.98,0.05
"E. Green",0.48,0.14,0.3,0.39,0.83,0.99,0.06
"E. Leslie",0.38,0.04,0.23,0.43,0.77,0.99,0.04
"E. Moraiti",0.34,0.31,0.26,0.55,0.82,0.98,0.05
"E. Power Biggs",0.18,0.17,0.24,0.47,0.67,0.79,0.04
"E. Roman",0.32,0.23,0.36,0.52,0.72,1,0.04
"E. Tarapore",0.61,0.12,0.2,0.32,0.78,1,0.29
"E.A. Mario",0.29,0.24,0.24,0.59,0.79,0.98,0.03
"E.Bonagura",0.7,0.77,0.39,0.59,0.85,0.68,0.47
"E.D. Tuckey",0.54,0.13,0.2,0.47,0.68,0.98,0.12
"E.D.I.",0.87,0.64,0.14,0.37,0.91,0.28,0.32
"E.E. Cummings",0.71,0.04,0.24,0.56,0.55,0.91,0.78
"E.G. Daily",0.69,0.45,0.1,0.43,0.71,0.17,0.05
"E.S. Posthumus",0.56,0.41,0.14,0.69,0.77,0.05,0.03
"E.S.G.",0.73,0.54,0.2,0.66,0.8,0.02,0.18
"E.U.",0.66,0.88,0.06,0.45,0.77,0.02,0.06
"E.Y. Harburg",0.6,0.23,0.57,0.59,0.69,0.91,0.58
"EA Games Soundtrack",0.43,0.28,0.11,0.43,0.71,0.92,0.04
"EARTHGANG",0.73,0.6,0.15,0.61,0.85,0.2,0.25
"EDEN",0.47,0.45,0.32,0.54,0.86,0.64,0.08
"EDO BOYS",0.5,0.96,0.44,0.71,0.92,0,0.05
"EDX",0.84,0.66,0.07,0.56,0.88,0.31,0.08
"EGOIST",0.41,0.68,0.21,0.73,0.88,0.25,0.06
"EH!DE",0.52,0.79,0.3,0.8,0.89,0,0.04
"EL Waves",0.58,0.71,0.23,0.59,0.88,0.01,0.07
"ELISA",0.52,0.96,0.1,0.73,0.89,0,0.04
"EMF",0.64,0.85,0.14,0.48,0.87,0,0.04
"EOR",0.59,0.56,0.26,0.6,0.79,0.2,0.03
"EOR 1946",0.49,0.79,0.09,0.76,0.86,0.06,0.05
"EPMD",0.76,0.74,0.15,0.49,0.87,0.17,0.32
"ERA",0.65,0.64,0.08,0.47,0.84,0.26,0.03
"ESG",0.8,0.61,0.08,0.63,0.79,0,0.08
"EVAN GIIA",0.71,0.67,0.14,0.51,0.88,0.2,0.05
"EVERGLOW",0.61,0.79,0.13,0.66,0.91,0.01,0.07
"EXO",0.7,0.79,0.24,0.57,0.92,0.08,0.06
"EXO-K",0.5,0.92,0.36,0.52,0.95,0.06,0.17
"Eagle-Eye Cherry",0.59,0.74,0.11,0.5,0.84,0,0.03
"Eagles",0.53,0.55,0.35,0.54,0.82,0.3,0.04
"Eagles Of Death Metal",0.57,0.96,0.13,0.77,0.92,0.56,0.1
"Eamon",0.83,0.65,0.04,0.31,0.88,0.21,0.07
"Earl Dibbles Jr.",0.61,0.83,0.11,0.6,0.89,0.02,0.06
"Earl Grant",0.28,0.24,0.22,0.38,0.76,0.91,0.03
"Earl Hines",0.6,0.24,0.16,0.49,0.75,0.93,0.05
"Earl Hines & His Orchestra",0.55,0.29,0.21,0.5,0.78,0.92,0.05
"Earl Hooker",0.52,0.68,0.27,0.54,0.82,0.7,0.07
"Earl Klugh",0.63,0.34,0.12,0.52,0.69,0.64,0.04
"Earl Lewis",0.37,0.49,0.22,0.5,0.85,0.83,0.04
"Earl Robinson",0.37,0.09,0.09,0.51,0.71,0.96,0.04
"Earl Scruggs",0.56,0.37,0.24,0.57,0.78,0.65,0.04
"Earl Sweatshirt",0.52,0.64,0.33,0.49,0.87,0.22,0.26
"Earl Swope",0.35,0.29,0.25,0.89,0.72,0.97,0.09
"Earl Thomas Conley",0.67,0.44,0.17,0.52,0.78,0.42,0.03
"Earl Wild",0.27,0.23,0.15,0.41,0.67,0.97,0.04
"Earle Hagen",0.49,0.36,0.27,0.58,0.74,0.54,0.04
"Earnest Johnson",0.5,0.37,0.14,0.59,0.74,0.74,0.05
"Earnest Pugh",0.32,0.68,0.95,0.45,0.87,0.42,0.06
"Earshot",0.39,0.89,0.34,0.47,0.9,0,0.12
"Earth, Wind & Fire",0.6,0.63,0.25,0.54,0.8,0.33,0.05
"Eartha Kitt",0.49,0.25,0.2,0.49,0.78,0.87,0.06
"Eason Chan",0.52,0.37,0.18,0.51,0.82,0.75,0.03
"East & Atlas",0.68,0.67,0.34,0.59,0.9,0,0.09
"East 17",0.52,0.49,0.19,0.59,0.85,0.58,0.03
"East Forest",0.59,0.32,0.24,0.51,0.71,0.91,0.04
"East York School (Ala.)",0.73,0.18,0.36,0.35,0.64,0.94,0.57
"Eastern Serbian performers with violin and clarinet",0.54,0.62,0.17,0.35,0.82,1,0.06
"Eastman Rochester Pops Orchestra",0.61,0.38,0.21,0.61,0.68,0.44,0.04
"Easton Corbin",0.61,0.66,0.18,0.63,0.88,0.15,0.03
"Eastside Boyz",0.84,0.69,0.15,0.4,0.85,0,0.19
"Eastwood Ensemble Symphony Orchestra",0.19,0.12,0.09,0.42,0.66,1,0.04
"Easy Mo Bee",0.72,0.8,0.06,0.5,0.82,0.03,0.05
"Easy Star All-Stars",0.75,0.58,0.08,0.52,0.88,0.12,0.04
"Eazy-E",0.76,0.79,0.31,0.5,0.89,0.03,0.24
"Ebb & Flod",0.12,0.04,0.11,0.33,0.62,0.79,0.04
"Ebe Stignani",0.41,0.19,0.32,0.46,0.71,0.97,0.15
"Ebe Ticozzi",0.23,0.26,0.23,0.37,0.76,0.94,0.04
"Eberhard Weber",0.31,0.35,0.11,0.51,0.7,0.52,0.03
"Eberhard Wächter",0.15,0.19,0.15,0.43,0.71,0.98,0.04
"Ebi",0.53,0.49,0.18,0.58,0.81,0.69,0.08
"Ebn-Ozn",0.71,0.75,0.31,0.59,0.78,0.01,0.09
"Ebo Taylor",0.67,0.77,0.2,0.46,0.86,0.31,0.05
"Echo & the Bunnymen",0.49,0.79,0.21,0.59,0.84,0.14,0.05
"Echosmith",0.68,0.55,0.12,0.51,0.86,0.34,0.03
"Eco",0.56,0.77,0.21,0.53,0.86,0.03,0.14
"Ed Ames",0.26,0.26,0.11,0.46,0.76,0.9,0.03
"Ed Bruce",0.55,0.42,0.34,0.36,0.77,0.62,0.03
"Ed Case",0.81,0.67,0.07,0.6,0.9,0.01,0.05
"Ed Garland",0.63,0.48,0.35,0.57,0.78,0.68,0.06
