"artists","danceability","energy","liveness","tempo","loudness","acousticness","speechiness"
"2nd South Carolina String Band",0.55,0.64,0.22,0.48,0.85,0.59,0.05
"2toxic",0.76,0.4,0.04,0.44,0.81,0.08,0.37
"3 Doors Down",0.51,0.79,0.16,0.6,0.88,0.04,0.04
"3 Inches Of Blood",0.37,0.96,0.11,0.45,0.93,0,0.08
"3 in One",0.6,0.47,0.13,0.56,0.84,0.48,0.1
"311",0.62,0.82,0.17,0.62,0.86,0.02,0.07
"347aidan",0.98,0.41,0.17,0.55,0.8,0.67,0.1
"35MM: A Musical Exhibition Original Cast",0.77,0.62,0.06,0.55,0.85,0.11,0.07
"36 Crazyfists",0.58,0.93,0.12,0.74,0.9,0,0.09
"38 Special",0.53,0.62,0.12,0.58,0.79,0.03,0.03
"3BallMTY",0.73,0.92,0.13,0.61,0.91,0.15,0.19
"3LAU",0.5,0.79,0.34,0.59,0.92,0.18,0.09
"3LW",0.72,0.72,0.15,0.6,0.88,0.06,0.11
"3OH!3",0.68,0.79,0.32,0.58,0.91,0.02,0.19
"3T",0.67,0.44,0.33,0.52,0.8,0.35,0.04
"3X Krazy",0.72,0.69,0.24,0.44,0.91,0.02,0.09
"3rd Bass",0.85,0.67,0.16,0.49,0.75,0.16,0.26
"3rd Strike",0.44,0.86,0.24,0.46,0.9,0.01,0.05
"3年E組うた担(渚&茅野&業&磯貝&前原)",0.52,0.97,0.27,0.82,0.94,0.02,0.07
"4 Non Blondes",0.53,0.57,0.13,0.54,0.81,0.18,0.04
"4 P.M.",0.36,0.39,0.36,0.35,0.84,0.75,0.04
"4 Skins",0.27,0.93,0.62,0.71,0.9,0.01,0.13
"4 Strings",0.62,0.79,0.16,0.63,0.86,0,0.04
"40 Thevz",0.76,0.58,0.31,0.42,0.86,0.01,0.17
"42 Dugg",0.85,0.57,0.15,0.58,0.88,0.2,0.35
"42nd Street Ensemble",0.31,0.4,0.29,0.76,0.79,0.88,0.06
"45 Grave",0.42,0.79,0.14,0.71,0.84,0.02,0.07
"4509 STARPASS Prodcutions",0.63,0.09,0.1,0.6,0.67,0.78,0.04
"4Him",0.48,0.49,0.11,0.51,0.81,0.28,0.03
"4Minute",0.54,0.93,0.42,0.81,0.93,0.01,0.29
"5 Seconds of Summer",0.55,0.8,0.18,0.65,0.9,0.04,0.11
"50 Cent",0.7,0.76,0.2,0.49,0.91,0.12,0.27
"50 Guitars of Tommy Garrett",0.5,0.29,0.11,0.54,0.77,0.79,0.03
"504 Boyz",0.81,0.62,0.24,0.57,0.83,0.02,0.27
"520Hz",0,0.02,0.1,0,0.21,1,0
"54-40",0.66,0.6,0.11,0.58,0.79,0.23,0.03
"5th Ward Boyz",0.84,0.34,0.26,0.36,0.84,0.16,0.39
"6 Dogs",0.75,0.66,0.1,0.63,0.9,0.22,0.05
"69 Boyz",0.85,0.74,0.18,0.61,0.79,0.03,0.23
"6LACK",0.64,0.52,0.12,0.56,0.85,0.27,0.17
"6cyclemind",0.72,0.47,0.13,0.45,0.84,0.44,0.03
"6ix9ine",0.73,0.7,0.14,0.57,0.89,0.11,0.25
"7 Aurelius",0.77,0.72,0.12,0.45,0.87,0.13,0.3
"7 FN",0.9,0.41,0.07,0.44,0.76,0.14,0.13
"7 Seconds",0.45,0.91,0.16,0.48,0.79,0,0.07
"7 Year Bitch",0.35,0.71,0.15,0.53,0.78,0,0.03
"702",0.74,0.61,0.16,0.45,0.85,0.2,0.07
"707",0.67,0.71,0.06,0.58,0.79,0.06,0.03
"8-Bit Arcade",0.71,0.82,0.13,0.61,0.83,0.76,0.05
"808 State",0.55,0.87,0.12,0.59,0.85,0.01,0.06
"88-Keys",0.65,0.64,0.42,0.56,0.89,0.14,0.29
"88GLAM",0.76,0.67,0.1,0.69,0.91,0.02,0.07
"88rising",0.58,0.46,0.22,0.5,0.83,0.53,0.1
"8Ball",0.78,0.66,0.24,0.56,0.87,0.07,0.19
"8Ball & MJG",0.79,0.62,0.19,0.59,0.83,0.03,0.27
"8father",0.83,0.38,0.14,0.44,0.88,0.1,0.41
"904TEZZO",0.7,0.48,0.38,0.55,0.82,0.46,0.05
"90sFlav",0.75,0.26,0.09,0.35,0.78,0.95,0.24
"916frosty",0.6,0.56,0.14,0.67,0.86,0.64,0.09
"93FEETOFSMOKE",0.82,0.58,0.08,0.79,0.88,0.14,0.43
"94 East",0.74,0.8,0.14,0.44,0.83,0.18,0.04
"98º",0.61,0.58,0.11,0.47,0.84,0.35,0.04
"99 Neighbors",0.82,0.49,0.34,0.33,0.87,0.54,0.49
"99 Percent",0.79,0.85,0.18,0.48,0.91,0.07,0.05
"999",0.6,0.63,0.17,0.61,0.82,0.03,0.05
"9lokknine",0.86,0.54,0.17,0.41,0.84,0.03,0.28
"9tails",0.71,0.54,0.12,0.5,0.87,0.4,0.03
"9th Wonder",0.69,0.52,0.14,0.42,0.84,0.23,0.24
"? & The Mysterians",0.63,0.67,0.15,0.51,0.85,0.22,0.04
"?uestlove",0.88,0.6,0.38,0.44,0.87,0.2,0.39
"A Boogie Wit da Hoodie",0.73,0.63,0.16,0.55,0.86,0.25,0.24
"A Certain Ratio",0.7,0.93,0.07,0.58,0.85,0.13,0.07
"A Day To Remember",0.4,0.92,0.29,0.66,0.91,0.03,0.12
"A Few Good Men",0.5,0.71,0.31,0.51,0.85,0.01,0.03
"A Fine Frenzy",0.55,0.24,0.11,0.55,0.85,0.95,0.04
"A Flock Of Seagulls",0.51,0.72,0.21,0.67,0.83,0.03,0.04
"A Foot In Coldwater",0.44,0.59,0.11,0.46,0.85,0.01,0.04
"A Great Big World",0.47,0.37,0.11,0.55,0.84,0.63,0.05
"A Guy Called Gerald",0.68,0.79,0.07,0.55,0.83,0.03,0.06
"A Heart Beats",0.51,0.26,0.17,0.45,0.78,0.85,0.07
"A Jam Session At Victor",0.72,0.18,0.07,0.39,0.73,0.96,0.06
"A L E X",0.79,0.29,0.1,0.57,0.77,0.83,0.07
"A Look At Yesterday",0.54,0.73,0.18,0.52,0.86,0.75,0.03
"A Perfect Circle",0.52,0.62,0.14,0.57,0.82,0.11,0.06
"A Priori",0.3,0.4,0.1,0.82,0.8,0.6,0.03
"A R I Z O N A",0.68,0.61,0.13,0.47,0.84,0.14,0.06
"A Rocket To The Moon",0.39,0.61,0.18,0.7,0.91,0.2,0.03
"A Skylit Drive",0.25,0.93,0.25,0.57,0.92,0,0.1
"A Static Lullaby",0.56,0.98,0.07,0.66,0.88,0,0.16
"A Taste Of Honey",0.75,0.54,0.12,0.58,0.83,0.33,0.06
"A Thousand Horses",0.49,0.81,0.26,0.61,0.88,0.02,0.04
"A Touch Of Class",0.68,0.92,0.12,0.59,0.88,0.31,0.03
"A Tree Grows in Brooklyn Ensemble",0.49,0.22,0.33,0.38,0.74,0.95,0.05
"A Tree Grows in Brooklyn Orchestra",0.26,0.38,0.15,0.51,0.81,0.92,0.04
"A Tribe Called Quest",0.83,0.56,0.21,0.45,0.82,0.17,0.28
"A Tribe Called Red",0.66,0.57,0.1,0.61,0.89,0.02,0.11
"A Winged Victory for the Sullen",0.08,0.08,0.12,0.38,0.64,0.77,0.04
"A$AP ANT",0.9,0.53,0.05,0.64,0.89,0.09,0.08
"A$AP Ferg",0.75,0.72,0.25,0.63,0.89,0.12,0.24
"A$AP Mob",0.78,0.72,0.16,0.59,0.88,0.24,0.27
"A$AP NAST",0.79,0.73,0.14,0.56,0.9,0.14,0.26
"A$AP Rocky",0.67,0.67,0.21,0.59,0.87,0.19,0.2
"A$AP Twelvyy",0.73,0.72,0.12,0.62,0.87,0.25,0.3
"A*Teens",0.72,0.88,0.26,0.57,0.89,0.04,0.04
"A-Lin",0.4,0.51,0.1,0.61,0.88,0.58,0.04
"A-Lusion",0.51,0.92,0.13,0.69,0.91,0.02,0.04
"A-Mei Chang",0.54,0.38,0.41,0.57,0.79,0.29,0.04
"A-Trak",0.7,0.73,0.17,0.6,0.92,0.01,0.14
"A. Caminha",0.59,0.42,0.19,0.6,0.76,0.43,0.06
"A. L. Lloyd",0.61,0.23,0.16,0.56,0.8,0.97,0.14
"A. Likiardopoulou",0.36,0.31,0.12,0.51,0.74,1,0.04
"A. M. Rajah",0.54,0.46,0.23,0.6,0.81,0.9,0.12
"A. Merangulian",0.37,0.25,0.1,0.67,0.74,0.96,0.05
"A. Merangulian with folk instrumental ensemble",0.51,0.44,0.31,0.51,0.74,0.92,0.05
"A. P. Komala",0.54,0.49,0.28,0.49,0.86,0.88,0.05
"A. Pignagnoli",0.81,0.56,0.06,0.52,0.8,0.18,0.06
"A. R. Ojha",0.62,0.21,0.18,0.53,0.81,0.98,0.22
"A. R. Oza",0.69,0.22,0.22,0.53,0.82,0.96,0.31
"A. R. Qureshi",0.62,0.32,0.39,0.65,0.79,0.99,0.19
"A. Xatzixristos",0.56,0.39,0.11,0.49,0.76,0.99,0.04
"A.B. Quintanilla III",0.74,0.79,0.23,0.53,0.9,0.1,0.08
"A.B. Quintanilla III Y Los Kumbia Kings",0.77,0.73,0.24,0.62,0.89,0.36,0.07
"A.C. Smyth",0.12,0.08,0.1,0.78,0.61,0.98,0.03
"A.CHAL",0.73,0.47,0.1,0.87,0.84,0.49,0.32
"A.G.",0.78,0.73,0.11,0.42,0.85,0.06,0.35
"A.J. Croce",0.41,0.68,0.35,0.51,0.9,0.06,0.03
"A.Loraarrero",0.62,0.34,0.32,0.51,0.79,0.91,0.14
"A.R. Kane",0.58,0.83,0.05,0.54,0.8,0.12,0.04
"A.R. Rahman",0.65,0.51,0.08,0.56,0.8,0.34,0.06
"A.l.t.",0.8,0.56,0.04,0.39,0.84,0.41,0.15
"A.r.d.i.",0.59,0.95,0.1,0.63,0.84,0,0.06
"A2M",0.97,0.78,0.27,0.55,0.85,0.46,0.33
"A7S",0.74,0.73,0.15,0.56,0.88,0.17,0.21
"ABBA",0.58,0.66,0.21,0.56,0.84,0.35,0.04
"ABC",0.69,0.79,0.18,0.56,0.86,0.23,0.06
"ABIR",0.66,0.73,0.13,0.44,0.91,0.08,0.08
"ABN",0.76,0.73,0.22,0.63,0.86,0.16,0.2
"ABSRDST",0.65,0.79,0.18,0.67,0.89,0.04,0.09
"AC/DC",0.48,0.85,0.28,0.59,0.9,0.03,0.07
"ACOT",0.73,0.57,0.1,0.55,0.85,0,0.06
"AFI",0.39,0.91,0.22,0.58,0.89,0.01,0.09
"AIIVAWN",0.52,0.18,0.36,0.56,0.73,0.94,0.04
"AILEE",0.61,0.87,0.12,0.6,0.94,0.26,0.05
"AJ Meijer",0.53,0.33,0.09,0.51,0.83,0.84,0.06
"AJ Michalka",0.75,0.51,0.08,0.42,0.82,0.43,0.09
"AJ Mitchell",0.6,0.53,0.08,0.51,0.88,0.38,0.04
"AJ Rafael",0.68,0.46,0.14,0.52,0.88,0.52,0.04
"AJJ",0.52,0.63,0.29,0.48,0.87,0.23,0.07
"AJR",0.61,0.66,0.17,0.52,0.89,0.17,0.07
"AK-7",0.77,0.65,0.12,0.64,0.9,0.54,0.06
"AL-X The Great",0.8,0.52,0.1,0.64,0.77,0.28,0.29
"ALI",0.58,0.88,0.35,0.62,0.94,0.1,0.07
"ALISA UENO",0.7,0.7,0.15,0.47,0.89,0.01,0.04
"ALLBLACK",0.92,0.7,0.23,0.48,0.9,0.27,0.27
"ALO",0.81,0.41,0.13,0.4,0.83,0.36,0.05
"AMG",0.83,0.49,0.14,0.47,0.79,0.01,0.24
"ANTONIS NTALGKAS",0.49,0.4,0.18,0.52,0.8,0.97,0.06
"AOA",0.76,0.86,0.2,0.55,0.94,0.43,0.05
"APB",0.6,0.68,0.07,0.63,0.85,0.06,0.13
"APO Hiking Society",0.5,0.48,0.19,0.56,0.78,0.48,0.05
"AR30",0.77,0.66,0.07,0.59,0.82,0.01,0.06
"ARTY",0.44,0.86,0.38,0.59,0.91,0.03,0.06
"ASIAN KUNG-FU GENERATION",0.42,0.92,0.14,0.72,0.91,0,0.07
"ATB",0.68,0.92,0.19,0.6,0.88,0.1,0.04
"ATEEZ",0.57,0.96,0.37,0.6,0.95,0.05,0.13
"ATR Son Son",0.9,0.25,0.1,0.54,0.69,0.29,0.11
"ATaste Of Honey",0.8,0.55,0.1,0.57,0.83,0.04,0.05
"AUGUST 08",0.41,0.68,0.17,0.41,0.85,0.36,0.09
"AURORA",0.43,0.28,0.14,0.56,0.8,0.72,0.05
"AViVA",0.55,0.66,0.13,0.83,0.87,0.04,0.05
"AWAY",0.72,0.63,0.12,0.64,0.89,0.14,0.07
"AWJC Media",0.49,0.87,0.29,0.88,0.89,0,0.04
"AWOLNATION",0.63,0.69,0.3,0.62,0.86,0.26,0.05
"AZ",0.73,0.65,0.24,0.45,0.85,0.18,0.31
"Aadesh Shrivastava",0.66,0.91,0.08,0.45,0.9,0.05,0.2
