"group","axis","value"
1972,"danceability",0.5208465
1972,"energy",0.5069524
1972,"liveness",0.2093138
1972,"tempo",119.2493455
1973,"danceability",0.5135514
1973,"energy",0.53483924
1973,"liveness",0.20650535
1973,"tempo",120.419363
1974,"danceability",0.52052895
1974,"energy",0.521901915
1974,"liveness",0.22111405
1974,"tempo",119.827762
1975,"danceability",0.523718
1975,"energy",0.534788445
1975,"liveness",0.22028765
1975,"tempo",119.095331
1976,"danceability",0.53280355
1976,"energy",0.555976895
1976,"liveness",0.2525387
1976,"tempo",121.1474615
1977,"danceability",0.5372937
1977,"energy",0.564516209
1977,"liveness",0.2240226
1977,"tempo",122.0271205
1978,"danceability",0.54478325
1978,"energy",0.570141965
1978,"liveness",0.2239043
1978,"tempo",121.092253
1979,"danceability",0.5618163
1979,"energy",0.598865365
1979,"liveness",0.2181085
1979,"tempo",122.9454195
1980,"danceability",0.5578385
1980,"energy",0.60089611
1980,"liveness",0.20805325
1980,"tempo",122.6640385
1981,"danceability",0.54187025
1981,"energy",0.601334018
1981,"liveness",0.2254533
1981,"tempo",123.4056765
1982,"danceability",0.56573035
1982,"energy",0.60003644
1982,"liveness",0.2013609
1982,"tempo",121.202016
1983,"danceability",0.54803335
1983,"energy",0.614877525
1983,"liveness",0.2018573
1983,"tempo",121.2740695
1984,"danceability",0.5397952
1984,"energy",0.60113052
1984,"liveness",0.19596895
1984,"tempo",121.9237365
1985,"danceability",0.55850035
1985,"energy",0.61172402
1985,"liveness",0.1995335
1985,"tempo",121.9948245
1986,"danceability",0.5447083
1986,"energy",0.6218376
1986,"liveness",0.20997095
1986,"tempo",120.925895
1987,"danceability",0.54301125
1987,"energy",0.587712445
1987,"liveness",0.1996317
1987,"tempo",120.406542
1988,"danceability",0.54506375
1988,"energy",0.59349891
1988,"liveness",0.21206585
1988,"tempo",120.481966
1989,"danceability",0.55203085
1989,"energy",0.591701695
1989,"liveness",0.198774
1989,"tempo",120.6101975
1990,"danceability",0.54518535
1990,"energy",0.5876502
1990,"liveness",0.2002561
1990,"tempo",120.019514
1991,"danceability",0.56122825
1991,"energy",0.56602222
1991,"liveness",0.1902512
1991,"tempo",119.776355
1992,"danceability",0.56382585
1992,"energy",0.589770795
1992,"liveness",0.2004604
1992,"tempo",122.566212
1993,"danceability",0.5744991
1993,"energy",0.571926055
1993,"liveness",0.19882815
1993,"tempo",119.9397855
1994,"danceability",0.5593907
1994,"energy",0.59062834
1994,"liveness",0.1930889
1994,"tempo",118.4363855
1995,"danceability",0.56496445
1995,"energy",0.589224815
1995,"liveness",0.19991025
1995,"tempo",119.20807
1996,"danceability",0.59172145
1996,"energy",0.591787605
1996,"liveness",0.20051785
1996,"tempo",117.331936
1997,"danceability",0.57796695
1997,"energy",0.601817345
1997,"liveness",0.20388905
1997,"tempo",117.7594745
1998,"danceability",0.5928674
1998,"energy",0.61484337
1998,"liveness",0.19614045
1998,"tempo",118.535518
1999,"danceability",0.5862456
1999,"energy",0.641978199
1999,"liveness",0.20873355
1999,"tempo",119.7589625
2000,"danceability",0.5890394
2000,"energy",0.62222284
2000,"liveness",0.20091825
2000,"tempo",118.932672
2001,"danceability",0.58593315
2001,"energy",0.638171686
2001,"liveness",0.1872397
2001,"tempo",117.9032015
2002,"danceability",0.57862785
2002,"energy",0.65135229
2002,"liveness",0.19558895
2002,"tempo",119.5606995
2003,"danceability",0.57663275
2003,"energy",0.66617755
2003,"liveness",0.19546715
2003,"tempo",121.0065355
2004,"danceability",0.5722624
2004,"energy",0.66055256
2004,"liveness",0.2022549
2004,"tempo",121.676676
2005,"danceability",0.5763006
2005,"energy",0.659766555
2005,"liveness",0.189185735
2005,"tempo",122.1156545
2006,"danceability",0.56844475
2006,"energy",0.657829535
2006,"liveness",0.18738655
2006,"tempo",121.813486
2007,"danceability",0.56483005
2007,"energy",0.6730113
2007,"liveness",0.19531585
2007,"tempo",123.4701225
2008,"danceability",0.5834105
2008,"energy",0.675860892
2008,"liveness",0.1985907
2008,"tempo",123.4698405
2009,"danceability",0.56685735
2009,"energy",0.680765665
2009,"liveness",0.20644795
2009,"tempo",123.656818
2010,"danceability",0.57781115
2010,"energy",0.693696355
2010,"liveness",0.201977
2010,"tempo",123.4369655
2011,"danceability",0.55982215
2011,"energy",0.671269066
2011,"liveness",0.2040738
2011,"tempo",122.3993055
2012,"danceability",0.5716951
2012,"energy",0.66981134
2012,"liveness",0.1951285
2012,"tempo",122.099837
2013,"danceability",0.57887375
2013,"energy",0.656467189
2013,"liveness",0.1995335
2013,"tempo",120.7844735
2014,"danceability",0.58957415
2014,"energy",0.653497022
2014,"liveness",0.1900837
2014,"tempo",122.584669
2015,"danceability",0.591007561
2015,"energy",0.633498827
2015,"liveness",0.187513154
2015,"tempo",119.6961051
2016,"danceability",0.599976384
2016,"energy",0.592877156
2016,"liveness",0.180197969
2016,"tempo",119.0703438
2017,"danceability",0.6122864
2017,"energy",0.586738587
2017,"liveness",0.19421845
2017,"tempo",116.8402775
2018,"danceability",0.66493
2018,"energy",0.59059117
2018,"liveness",0.17178135
2018,"tempo",122.004325
2019,"danceability",0.64421535
2019,"energy",0.578796113
2019,"liveness",0.1671606
2019,"tempo",118.868163
2020,"danceability",0.673077449
2020,"energy",0.611914191
2020,"liveness",0.177048178
2020,"tempo",121.2287039
