"group","axis","value"
"...Bender","liveness",0.116
"...Bender","tempo",119.128
"03 Greedo","danceability",0.7246
"03 Greedo","energy",0.6938
"03 Greedo","liveness",0.16506
"03 Greedo","tempo",93.9078
"070 Shake","danceability",0.68
"070 Shake","energy",0.637
"070 Shake","liveness",0.124266667
"070 Shake","tempo",112.6786667
"10 Ft. Ganja Plant","danceability",0.7875
"10 Ft. Ganja Plant","energy",0.7725
"10 Ft. Ganja Plant","liveness",0.07735
"10 Ft. Ganja Plant","tempo",142.973
"10 Years","danceability",0.39925
"10 Years","energy",0.751625
"10 Years","liveness",0.1507375
"10 Years","tempo",147.9155
"10,000 Maniacs","danceability",0.581454545
"10,000 Maniacs","energy",0.560390909
"10,000 Maniacs","liveness",0.253490909
"10,000 Maniacs","tempo",118.9730909
"100 gecs","danceability",0.6695
"100 gecs","energy",0.566
"100 gecs","liveness",0.377
"100 gecs","tempo",91.691
"101 Strings Orchestra","danceability",0.254866667
"101 Strings Orchestra","energy",0.373333333
"101 Strings Orchestra","liveness",0.172666667
"101 Strings Orchestra","tempo",96.92416667
"1017 Eskimo","danceability",0.896
"1017 Eskimo","energy",0.615
"1017 Eskimo","liveness",0.122
"1017 Eskimo","tempo",140.04
"10cc","danceability",0.550952381
"10cc","energy",0.547047619
"10cc","liveness",0.14787619
"10cc","tempo",118.9217143
"5-Nov","danceability",0.929
"5-Nov","energy",0.661
"5-Nov","liveness",0.0879
"5-Nov","tempo",114.973
"112","danceability",0.666072727
"112","energy",0.520436364
"112","liveness",0.143212727
"112","tempo",116.8437636
"11:11","danceability",0.478
"11:11","energy",0.555
"11:11","liveness",0.103
"11:11","tempo",128.728
"12 Pianists","danceability",0.414
"12 Pianists","energy",0.0187
"12 Pianists","liveness",0.0513
"12 Pianists","tempo",74.477
"12 Stones","danceability",0.385833333
"12 Stones","energy",0.888833333
"12 Stones","liveness",0.249233333
"12 Stones","tempo",138.6921667
"1422","danceability",0.466333333
"1422","energy",0.874666667
"1422","liveness",0.391
"1422","tempo",98.25366667
"1776 Ensemble","danceability",0.5895
"1776 Ensemble","energy",0.4025
"1776 Ensemble","liveness",0.4725
"1776 Ensemble","tempo",97.4035
"1776 Orchestra","danceability",0.739
"1776 Orchestra","energy",0.518
"1776 Orchestra","liveness",0.0917
"1776 Orchestra","tempo",120.939
"1788-L","danceability",0.522
"1788-L","energy",0.539
"1788-L","liveness",0.0664
"1788-L","tempo",95.97
"18 Carat Affair","danceability",0.599
"18 Carat Affair","energy",0.852
"18 Carat Affair","liveness",0.119
"18 Carat Affair","tempo",99.12
"1910 Fruitgum Company","danceability",0.757
"1910 Fruitgum Company","energy",0.60525
"1910 Fruitgum Company","liveness",0.12425
"1910 Fruitgum Company","tempo",128.4975
"1986 Omega Tribe","danceability",0.687
"1986 Omega Tribe","energy",0.620833333
"1986 Omega Tribe","liveness",0.155566667
"1986 Omega Tribe","tempo",123.0371667
"1way Frank","danceability",0.783
"1way Frank","energy",0.38
"1way Frank","liveness",0.158
"1way Frank","tempo",99.802
"2 Brothers On The 4th Floor","danceability",0.701
"2 Brothers On The 4th Floor","energy",0.979
"2 Brothers On The 4th Floor","liveness",0.416
"2 Brothers On The 4th Floor","tempo",134.013
"2 Chainz","danceability",0.771091837
"2 Chainz","energy",0.642418367
"2 Chainz","liveness",0.203555102
"2 Chainz","tempo",125.026398
"2 Crows","danceability",0.588
"2 Crows","energy",0.788
"2 Crows","liveness",0.378
"2 Crows","tempo",96.007
"2 Guys n the Parque","danceability",0.814
"2 Guys n the Parque","energy",0.879
"2 Guys n the Parque","liveness",0.0401
"2 Guys n the Parque","tempo",120.113
"2 Hyped Brothers & A Dog","danceability",0.906
"2 Hyped Brothers & A Dog","energy",0.382
"2 Hyped Brothers & A Dog","liveness",0.113
"2 Hyped Brothers & A Dog","tempo",126.073
"2 In A Room","danceability",0.781
"2 In A Room","energy",0.838
"2 In A Room","liveness",0.0381
"2 In A Room","tempo",122.819
"2 LIVE CREW","danceability",0.884095238
"2 LIVE CREW","energy",0.651857143
"2 LIVE CREW","liveness",0.404295238
"2 LIVE CREW","tempo",126.1386667
"2 Pistols","danceability",0.517
"2 Pistols","energy",0.747
"2 Pistols","liveness",0.345
"2 Pistols","tempo",134.058
"2 Unlimited","danceability",0.721666667
"2 Unlimited","energy",0.924166667
"2 Unlimited","liveness",0.103033333
"2 Unlimited","tempo",129.4381667
"2* Sweet","danceability",0.788
"2* Sweet","energy",0.687
"2* Sweet","liveness",0.148
"2* Sweet","tempo",102.345
"20 Fingers","danceability",0.8515
"20 Fingers","energy",0.82
"20 Fingers","liveness",0.11065
"20 Fingers","tempo",127.001
"20/20","danceability",0.458
"20/20","energy",0.541
"20/20","liveness",0.0371
"20/20","tempo",133.573
"2002","danceability",0.229
"2002","energy",0.155
"2002","liveness",0.105266667
"2002","tempo",114.312
"2014 ATHINAIKI DISCOGRAFIKI","danceability",0.501
"2014 ATHINAIKI DISCOGRAFIKI","energy",0.341
"2014 ATHINAIKI DISCOGRAFIKI","liveness",0.418
"2014 ATHINAIKI DISCOGRAFIKI","tempo",109.956
"20th Century Fox Studio Orchestra","danceability",0.346666667
"20th Century Fox Studio Orchestra","energy",0.326
"20th Century Fox Studio Orchestra","liveness",0.336766667
"20th Century Fox Studio Orchestra","tempo",100.0243333
"21 Savage","danceability",0.791886076
"21 Savage","energy",0.551607595
"21 Savage","liveness",0.178807595
"21 Savage","tempo",124.419519
"22, Little Red, Tangle Eye & Hard Hair","danceability",0.789
"22, Little Red, Tangle Eye & Hard Hair","energy",0.352
"22, Little Red, Tangle Eye & Hard Hair","liveness",0.0867
"22, Little Red, Tangle Eye & Hard Hair","tempo",139.616
"22Gz","danceability",0.83
"22Gz","energy",0.574
"22Gz","liveness",0.124
"22Gz","tempo",143.892
"24 Horas","danceability",0.814
"24 Horas","energy",0.68
"24 Horas","liveness",0.101
"24 Horas","tempo",126.976
"24hrs","danceability",0.5405
"24hrs","energy",0.74
"24hrs","liveness",0.12435
"24hrs","tempo",117.9925
"24kGoldn","danceability",0.731588235
"24kGoldn","energy",0.681235294
"24kGoldn","liveness",0.16
"24kGoldn","tempo",131.3191176
"27CLUB","danceability",0.514
"27CLUB","energy",0.712
"27CLUB","liveness",0.112
"27CLUB","tempo",76.393
"2Baba","danceability",0.591
"2Baba","energy",0.602
"2Baba","liveness",0.278
"2Baba","tempo",147.957
"2CELLOS","danceability",0.5865
"2CELLOS","energy",0.499
"2CELLOS","liveness",0.149
"2CELLOS","tempo",122.251
"2KBABY","danceability",0.721
"2KBABY","energy",0.466666667
"2KBABY","liveness",0.151333333
"2KBABY","tempo",137.7933333
"2NE1","danceability",0.819
"2NE1","energy",0.844
"2NE1","liveness",0.056
"2NE1","tempo",127.997
"2Pac","danceability",0.77690785
"2Pac","energy",0.708177474
"2Pac","liveness",0.224146758
"2Pac","tempo",107.1581638
"2Pac a.k.a. Makaveli","danceability",0.893
"2Pac a.k.a. Makaveli","energy",0.576
"2Pac a.k.a. Makaveli","liveness",0.0758
"2Pac a.k.a. Makaveli","tempo",94.307
"2forwOyNE","danceability",0.923
"2forwOyNE","energy",0.533
"2forwOyNE","liveness",0.0925
"2forwOyNE","tempo",97.958
"2nd Chapter Of Acts","danceability",0.433
"2nd Chapter Of Acts","energy",0.3765
"2nd Chapter Of Acts","liveness",0.1148
"2nd Chapter Of Acts","tempo",89.173
"2nd Generation Outlawz","danceability",0.516
"2nd Generation Outlawz","energy",0.452
"2nd Generation Outlawz","liveness",0.128
"2nd Generation Outlawz","tempo",130.069
"2nd II None","danceability",0.912222222
"2nd II None","energy",0.536111111
"2nd II None","liveness",0.255111111
"2nd II None","tempo",103.6753333
"2nd South Carolina String Band","danceability",0.5515
"2nd South Carolina String Band","energy",0.639
"2nd South Carolina String Band","liveness",0.2195
"2nd South Carolina String Band","tempo",103.9895
"3 Doors Down","danceability",0.503
"3 Doors Down","energy",0.792672727
"3 Doors Down","liveness",0.157850909
"3 Doors Down","tempo",128.8442
"3 Inches Of Blood","danceability",0.367
"3 Inches Of Blood","energy",0.961
"3 Inches Of Blood","liveness",0.11
"3 Inches Of Blood","tempo",97
"3 in One","danceability",0.599
"3 in One","energy",0.471
"3 in One","liveness",0.133
"3 in One","tempo",121.11
"2-Mar","danceability",0.792
"2-Mar","energy",0.602
"2-Mar","liveness",0.088
"2-Mar","tempo",92.017
"30 Roc","danceability",0.616
"30 Roc","energy",0.537
"30 Roc","liveness",0.107
"30 Roc","tempo",122.65
"311","danceability",0.618868852
"311","energy",0.820065574
"311","liveness",0.16602459
"311","tempo",132.5737541
"35MM: A Musical Exhibition Original Cast","danceability",0.772
"35MM: A Musical Exhibition Original Cast","energy",0.615
"35MM: A Musical Exhibition Original Cast","liveness",0.0581
"35MM: A Musical Exhibition Original Cast","tempo",119.962
"36 Crazyfists","danceability",0.585
"36 Crazyfists","energy",0.931
"36 Crazyfists","liveness",0.115
"36 Crazyfists","tempo",160.079
"38 Special","danceability",0.525155556
"38 Special","energy",0.6304
"38 Special","liveness",0.125117778
"38 Special","tempo",125.2705556
"3BallMTY","danceability",0.792
"3BallMTY","energy",0.916
"3BallMTY","liveness",0.061
"3BallMTY","tempo",131.895
"3LAU","danceability",0.5335
"3LAU","energy",0.7705
"3LAU","liveness",0.227
"3LAU","tempo",115.002
"3LW","danceability",0.7178
"3LW","energy",0.7196
"3LW","liveness",0.15058
"3LW","tempo",129.6848
"3OH!3","danceability",0.68375
"3OH!3","energy",0.7932
"3OH!3","liveness",0.31715
"3OH!3","tempo",125.77265
"3T","danceability",0.669666667
"3T","energy",0.435666667
"3T","liveness",0.330666667
"3T","tempo",113.091
"3X Krazy","danceability",0.719
"3X Krazy","energy",0.686
"3X Krazy","liveness",0.236
"3X Krazy","tempo",95.19
"3rd Bass","danceability",0.7996
"3rd Bass","energy",0.6826
"3rd Bass","liveness",0.14054
"3rd Bass","tempo",124.1922
"3rd Strike","danceability",0.444
"3rd Strike","energy",0.859
"3rd Strike","liveness",0.24
"3rd Strike","tempo",99.655
"3年E組うた担(渚&茅野&業&磯貝&前原)","danceability",0.591
"3年E組うた担(渚&茅野&業&磯貝&前原)","energy",0.945
"3年E組うた担(渚&茅野&業&磯貝&前原)","liveness",0.214
"3年E組うた担(渚&茅野&業&磯貝&前原)","tempo",180.048
"4 Non Blondes","danceability",0.528666667
"4 Non Blondes","energy",0.57
"4 Non Blondes","liveness",0.126633333
"4 Non Blondes","tempo",117.8765
"4 P.M.","danceability",0.363
"4 P.M.","energy",0.388
"4 P.M.","liveness",0.363
"4 P.M.","tempo",76.099
"4 Skins","danceability",0.2655
"4 Skins","energy",0.9295
"4 Skins","liveness",0.6155
"4 Skins","tempo",154.4345
"4 Strings","danceability",0.617
"4 Strings","energy",0.79
"4 Strings","liveness",0.159
"4 Strings","tempo",138.004
"40 Thevz","danceability",0.76
"40 Thevz","energy",0.585
"40 Thevz","liveness",0.308
"40 Thevz","tempo",91.179
"42 Dugg","danceability",0.8776
"42 Dugg","energy",0.565
"42 Dugg","liveness",0.09664
"42 Dugg","tempo",127.2876
"420 Unlovable","danceability",0.954
"420 Unlovable","energy",0.58
"420 Unlovable","liveness",0.134
"420 Unlovable","tempo",128.003
"42nd Street Ensemble","danceability",0.343
"42nd Street Ensemble","energy",0.434
"42nd Street Ensemble","liveness",0.170566667
"42nd Street Ensemble","tempo",111.1923333
"433","danceability",0.661
"433","energy",0.942
"433","liveness",0.0778
"433","tempo",127.947
"45 Grave","danceability",0.438333333
"45 Grave","energy",0.763666667
"45 Grave","liveness",0.1207
"45 Grave","tempo",149.7286667
"4B","danceability",0.63
"4B","energy",0.851
"4B","liveness",0.0939
"4B","tempo",150.054
"4Him","danceability",0.476333333
"4Him","energy",0.487333333
"4Him","liveness",0.111333333
"4Him","tempo",111.2396667
"4Minute","danceability",0.54
"4Minute","energy",0.929
"4Minute","liveness",0.424
"4Minute","tempo",176.023
"5 Seconds of Summer","danceability",0.546755319
"5 Seconds of Summer","energy",0.807755319
"5 Seconds of Summer","liveness",0.177270213
